"Version","ID","Name","productURL","imageURL","price","Description","Longid","deliveryTime","shortDescription","previousPrice","shippingCost","brand","Party","Category","Secondary Category"
"2","8ZR1R9X09JLX-9RWX","JBL Clip+ Portable Wireless Speaker","https://www.microsoft.com/en-us/store/d/jbl-clip-portable-wireless-speaker/8ZR1R9X09JLX/9RWX","https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW6nxk?ver=bfcd","39.95","This feather-light and splashproof portable speaker from JBL clips to your clothes or backpack for hours of music on the go—come rain or shine.","8ZR1R9X09JLX","02/09/2018","JBL Clip+ Portable Wireless Speaker (Red)","39.95","0","Microsoft","3P","Acc & Services","IoT"
"2","8ZR59XK3KZ99-46JX","Wolfenstein II: The New Colossus PC Game","https://www.microsoft.com/en-us/store/d/wolfenstein-ii-the-new-colossus-pc-game/8ZR59XK3KZ99/46JX","https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RWcFWt?ver=f2fd","59.99","Fight the Nazis in iconic American locations, equip an arsenal of guns, and unleash new abilities to blast your way through legions of Nazi soldiers in this definitive first-person shooter game.","8ZR59XK3KZ99","02/09/2018","Wolfenstein II: The New Colossus PC Game","59.99","0","Microsoft","3P","Gaming","Games and Content"
"2","8ZSPC78BFQV3-DPH2","HyperX Pulsefire FPS & HyperX FURY S Gaming Mouse & Mouse Pad Bundle","https://www.microsoft.com/en-us/store/d/hyperx-pulsefire-fps--hyperx-fury-sgaming-mouse--mouse-pad-bundle/8ZSPC78BFQV3/DPH2","https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RWb4OS?ver=57db","49.99","Dominate the action with this ergonomic mouse and finely textured pad optimized for hardcore and professional gamers.","8ZSPC78BFQV3","02/09/2018","HyperX Pulsefire FPS & HyperX FURY S Gaming Mouse & Mouse Pad Bundle","59.99","0","Microsoft","3P","PCs","PC"
"2","8ZSWT318BC3G-G9HF","HP Pavilion Wave 600 Signature Edition Desktop","https://www.microsoft.com/en-us/store/d/hp-pavilion-wave-600-signature-edition-desktop/8ZSWT318BC3G/G9HF","https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW6y9P?ver=8e41","749"," Desktop PC (no monitor)  Intel Core i7-6700T  8GB memory/128GB SSD + 1TB HDD  AMD Radeon R9 M470 graphics  Includes wireless mouse and keyboard","8ZSWT318BC3G","02/09/2018","HP Pavilion Wave 600-a011 Signature Edition Desktop","899","0","Microsoft","3P","PCs","PC"
"2","8ZT4BX5LS2VH-VSG4","Extinction PC Game","https://www.microsoft.com/en-us/store/d/extinction-pc-game/8ZT4BX5LS2VH/VSG4","https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1BbVo?ver=511f","59.99","You are one of the world’ s last defenders, a warrior trained with the skill, speed, and strength. You have to fight off the endless wave of ogres and minions and prevent the human population from extinction.  Release date: March 31, 2018","8ZT4BX5LS2VH","02/09/2018","Extinction PC Game","59.99","0","Microsoft","3P","Gaming","Games & Content"
"2","8ZT4WMMLXSFH-48NV","Samsung Multiport Adapter for Galaxy TabPro S","https://www.microsoft.com/en-us/store/d/samsung-multiport-adapter-for-galaxy-tabpro-s/8ZT4WMMLXSFH/48NV","https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1uLSv?ver=8204","69.99","Do more with your TabPro S. Connect to a big screen with the HDMI port and watch 4K movies and video. Connect flash drives and other accessories with the Type-A USB 3.0 port, while the USB Type-C port with Samsung's Fast Charging technology enables you to charge your TabPro, other tablets, or phones.","8ZT4WMMLXSFH","02/09/2018","Samsung Multiport Adapter for Galaxy TabPro S","89.99","0","Microsoft","3P","PCs","PC"
"2","8ZT6WGZSG5X9-5H4T","Xbox Wireless Controller Gears of War 4 Limited Edition","https://www.microsoft.com/en-us/store/d/xbox-wireless-controller-gears-of-war-4-limited-edition/8ZT6WGZSG5X9/5H4T","http://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1htap?ver=b8b3","74.99","Prepare for war with this limited-edition Gears of War 4 Xbox Wireless Controller, featuring a laser-etched design based on JD Fenix’s armor, blue metallic D-pad, and textured grip for enhanced control. Includes a unique multiplayer lobby banner and three Gear packs for special in-game items.*  Compatible with Xbox One, Xbox One S, and Xbox One X consoles.","8ZT6WGZSG5X9","02/09/2018","Xbox Wireless Controller Gears of War 4 Limited Edition","74.99","0","Microsoft","1P","Gaming","Gaming Devices"
"2","8ZT6WGZSG5X9-BVWC","Xbox Wireless Controller Gears of War 4 Limited Edition","https://www.microsoft.com/en-us/store/d/xbox-wireless-controller-gears-of-war-4-limited-edition/8ZT6WGZSG5X9/BVWC","https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RWcvkp?ver=bdb8","74.99","Prepare for war with this limited-edition Gears of War 4 Xbox Wireless Controller, featuring a laser-etched design based on JD Fenix’s armor, red metallic D-pad, and textured grip for enhanced control. Includes a unique multiplayer lobby emblem and three Gear packs for special in-game items.*  Compatible with Xbox One and Xbox One S consoles.","8ZT6WGZSG5X9","02/09/2018","Xbox Wireless Controller Gears of War 4 Limited Edition","74.99","0","Microsoft","1P","Gaming","Gaming Devices"
"2","8ZTFXW8HRG8W-B22V","Ehang Ghostdrone 2.0 Propellers Orange","https://www.microsoft.com/en-us/store/d/ehang-ghostdrone-20-propellers-orange/8ZTFXW8HRG8W/B22V","http://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1hvLe?ver=9b29","19.99","These self-tightening propellers for the Ghostdrone 2.0 are color coded for easy installation, and are designed to fully utilize the drone’s power and speed.","8ZTFXW8HRG8W","02/09/2018","Ehang Ghostdrone 2.0 Propellers (Black)","19.99","0","Microsoft","3P","Acc & Services","IoT"
"2","8ZTFXW8HRG8W-CWP7","Ehang Ghostdrone 2.0 Propellers Orange","https://www.microsoft.com/en-us/store/d/ehang-ghostdrone-20-propellers-orange/8ZTFXW8HRG8W/CWP7","http://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1hnXr?ver=736a","19.99","These self-tightening propellers for the Ghostdrone 2.0 are color coded for easy installation, and are designed to fully utilize the drone’s power and speed.","8ZTFXW8HRG8W","02/09/2018","Ehang Ghostdrone 2.0 Propellers (White)","19.99","0","Microsoft","3P","Acc & Services","IoT"
"2","8ZTFXW8HRG8W-GTLW","Ehang Ghostdrone 2.0 Propellers Orange","https://www.microsoft.com/en-us/store/d/ehang-ghostdrone-20-propellers-orange/8ZTFXW8HRG8W/GTLW","http://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1hlm5?ver=f59d","19.99","These self-tightening propellers for the Ghostdrone 2.0 are color coded for easy installation, and are designed to fully utilize the drone’s power and speed.","8ZTFXW8HRG8W","02/09/2018","Ehang Ghostdrone 2.0 Propellers (Blue)","19.99","0","Microsoft","3P","Acc & Services","IoT"
"2","8ZTH58T4LPCT-4P3L","Alienware 17 R4 AW17R4-7006SLV-PUS Gaming Laptop","https://www.microsoft.com/en-us/store/d/alienware-17-r4-aw17r4-7006slv-pus-gaming-laptop/8ZTH58T4LPCT/4P3L","https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RWhN4D?ver=6a9e","2249"," 17.3-inch Full HD display  Intel Core i7-7820HK  16GB memory/1TB HDD + 256GB SSD  VR-ready NVIDIA GeForce GTX 1070 graphics","8ZTH58T4LPCT","02/09/2018","Dell Alienware 17 R4 AW17R4-7006SLV-PUS Laptop","2249","0","Microsoft","3P","PCs","PC"
"2","8ZV5ZHQ967H5-7B60","Lenovo Ideapad Flex 5 15 2 in 1 PC","https://www.microsoft.com/en-us/store/d/lenovo-ideapad-flex-5-15-2-in-1-pc/8ZV5ZHQ967H5/7B60","https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW7DvK?ver=07cf","679"," 15.6-inch Full HD touchscreen  Intel Core i5-7200U  8GB memory/256GB SSD  Intel HD Graphics 620","8ZV5ZHQ967H5","02/09/2018","Lenovo Ideapad Flex 5 15 80XB0006US 2 in 1 PC","799","0","Microsoft","3P","PCs","PC"
"2","8ZW1G5P81S0G-1WJZ","CyberPowerPC Gamer Xtreme GXi1200MST Gaming Desktop","https://www.microsoft.com/en-us/store/d/cyberpowerpc-gamer-xtreme-gxi1200mst-gaming-desktop/8ZW1G5P81S0G/1WJZ","https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1JfI1?ver=cb11","1019"," Desktop PC (no monitor)  Intel Core i5-8600K  8GB memory/1TB HDD + 120GB SSD  VR-ready NVIDIA GeForce GTX 1060 graphics  Includes gaming keyboard and mouse","8ZW1G5P81S0G","02/09/2018","CyberPowerPC Gamer Xtreme GXi1200MST Gaming Desktop","1019","0","Microsoft","3P","PCs","PC"
"2","8ZW8Q6FRWRFZ-16PB","Toshiba Satellite Radius 12 P25W Signature Edition 2 in 1 PC","https://www.microsoft.com/en-us/store/d/toshiba-satellite-radius-12-p25w-signature-edition-2-in-1-pc/8ZW8Q6FRWRFZ/16PB","https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW6KZd?ver=160d","647"," 12.5-inch 4K UHD touchscreen  Intel Core i7-6500U  8GB memory/256GB SSD  Up to 6.5 hours battery life","8ZW8Q6FRWRFZ","02/09/2018","Toshiba Satellite Radius 12 P25W-C2300-4K Signature Edition 2 in 1 PC","1299.99","0","Microsoft","3P","PCs","PC"
"2","8ZWMVFMMFVTK-7TRB","Microsoft Lumia 640 XL (White) - Unlocked","https://www.microsoft.com/en-us/store/d/microsoft-lumia-640-xl-white---unlocked/8ZWMVFMMFVTK/7TRB","https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW70t3?ver=0c05","149"," 5.7" HD720 display  13MP main camera  8GB storage/microSD 128GB  Compatible with GSM carriers [3]   Windows phone 8.1  Free upgrade to Windows 10","8ZWMVFMMFVTK","02/09/2018","Microsoft Lumia 640 XL (White) - Unlocked","149","0","Microsoft","1P","Phone","Mobile"
"2","8ZWRWG8VRX6K-C666","Disney Infinity 3.0 Figure: Baloo","https://www.microsoft.com/en-us/store/d/disney-infinity-30-figure-baloo/8ZWRWG8VRX6K/C666","https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW9U03?ver=0add","13.99","Baloo is the carefree bear who dances his way through The Jungle Book and protects his friends by throwing fruit. Compatible with Toy Box 3.0 (sold separately).","8ZWRWG8VRX6K","02/09/2018","Disney Infinity 3.0 Figure: Baloo","13.99","0","Microsoft","3P","Gaming","Gaming Devices"
