id	"Title"	"description"	price	link	product_type	availability	image_link	condition	shippingweight	gtin	shipping	brand	custom_label_0	"custom_label_1"	custom_label_3	identifier_exists	gender	age_group	Google_product_category	custom_label_4	custom_label_2	promotion_Id	display_ads_title	display_ads_value	Sale_Price
8NGXSGCQR2VR-7VTF	"Xbox One S 1TB Console – Minecraft Limited Edition Bundle "	"Bundle includes:   Xbox One S Limited Edition 1TB Console   Xbox Wireless Controller - Minecraft Creeper’  Minecraft digital code*   Minecraft Redstone Pack bonus content digital code*   Xbox One S Vertical Stand*   1-month Xbox Game Pass Trial with access to 100+ games (new customers only)   14-day Xbox Live Gold trial "	399	https://www.microsoft.com/en-au/store/d/xbox-one-s-1tb-console--minecraft-limited-edition-bundle/8NGXSGCQR2VR/7VTF	Gaming	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1BRwX?ver=ff27	new		889842199284	AU:::0.00		Software	"Video Game Software"		yes	unisex	adult	Software > Video Game Software						399
8NJ1CKVPHJX5-M40B	"Xbox Wireless Controller - Blue"	"Experience the enhanced comfort and feel of the Xbox Wireless Controller - Blue. Get up to twice the wireless range of previous controllers[1] and stay on target with its textured grip."	94.95	https://www.microsoft.com/en-au/store/d/xbox-wireless-controller---blue/8NJ1CKVPHJX5/M40B	Gaming	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW10Ai?ver=6662	new		889842113006	AU:::0.00	Microsoft	Electronics	"Electronics Accessories"	1P	yes	unisex	adult	Electronics > Electronics Accessories > Computer Components > Input Devices > Game Controllers						94.95
8NKT9WTTRBJK-10L4	"Surface Pro - Intel Core m3 / 128GB SSD / 4GB RAM"	" The ultimate laptop, with the versatility of a studio and tablet   Breeze through tasks with a powerful 7th Generation Intel Core processor  Get more done with all day battery life²––50% more than Surface Pro 4  Vibrant 12.5 PixelSense high definition Display  Newly redesigned front-facing speakers and quieter fan-less cooling system⁵  Surface Pro Signature Type Cover and Surface Pen sold separately   Free 3-month trial of Adobe Creative Cloud Photography plan plus 1TB of cloud storage with purchase*"	1199	https://www.microsoft.com/en-au/store/d/surface-pro/8NKT9WTTRBJK/10L4	Surface	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW7Li9?ver=5198	new		889842192971	AU:::0.00	Microsoft	Electronics	"Computers"	1P	yes	unisex	adult	Electronics > Computers > Laptops						1199
8NKT9WTTRBJK-1GRS	"Surface Pro - Intel Core i5 / 256GB SSD / 8GB RAM"	" The ultimate laptop, with the versatility of a studio and tablet   Breeze through tasks with a powerful 7th Generation Intel Core processor  Get more done with all day battery life²––50% more than Surface Pro 4  Vibrant 12.5 PixelSense high definition Display  Newly redesigned front-facing speakers and quieter fan-less cooling system⁵  Surface Pro Signature Type Cover and Surface Pen sold separately   Free 3-month trial of Adobe Creative Cloud Photography plan plus 1TB of cloud storage with purchase*"	1999	https://www.microsoft.com/en-au/store/d/surface-pro/8NKT9WTTRBJK/1GRS	Surface	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW7Li9?ver=5198	new		889842193251	AU:::0.00	Microsoft	Electronics	"Computers"	1P	yes	unisex	adult	Electronics > Computers > Laptops						1999
8NKT9WTTRBJK-2318	"Surface Pro - Intel Core i7 / 1TB SSD / 16GB RAM"	" The ultimate laptop, with the versatility of a studio and tablet   Breeze through tasks with a powerful 7th Generation Intel Core processor  Get more done with all day battery life²––50% more than Surface Pro 4  Vibrant 12.5 PixelSense high definition Display  Newly redesigned front-facing speakers and quieter fan-less cooling system⁵  Surface Pro Signature Type Cover and Surface Pen sold separately   Free 3-month trial of Adobe Creative Cloud Photography plan plus 1TB of cloud storage with purchase*"	3999	https://www.microsoft.com/en-au/store/d/surface-pro/8NKT9WTTRBJK/2318	Surface	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW7Li9?ver=5198	new		889842193671	AU:::0.00	Microsoft	Electronics	"Computers"	1P	yes	unisex	adult	Electronics > Computers > Laptops						3999
8NKT9WTTRBJK-4X0T	"Surface Pro - Intel Core i5 / 128GB SSD / 4GB RAM"	" The ultimate laptop, with the versatility of a studio and tablet   Breeze through tasks with a powerful 7th Generation Intel Core processor  Get more done with all day battery life²––50% more than Surface Pro 4  Vibrant 12.5 PixelSense high definition Display  Newly redesigned front-facing speakers and quieter fan-less cooling system⁵  Surface Pro Signature Type Cover and Surface Pen sold separately   Free 3-month trial of Adobe Creative Cloud Photography plan plus 1TB of cloud storage with purchase*"	1499	https://www.microsoft.com/en-au/store/d/surface-pro/8NKT9WTTRBJK/4X0T	Surface	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW7Li9?ver=5198	new		889842193114	AU:::0.00	Microsoft	Electronics	"Computers"	1P	yes	unisex	adult	Electronics > Computers > Laptops						1499
8NKT9WTTRBJK-640N	"Surface Pro - Intel Core i7 / 256GB SSD / 8GB RAM"	" The ultimate laptop, with the versatility of a studio and tablet   Breeze through tasks with a powerful 7th Generation Intel Core processor  Get more done with all day battery life²––50% more than Surface Pro 4  Vibrant 12.5 PixelSense high definition Display  Newly redesigned front-facing speakers and quieter fan-less cooling system⁵  Surface Pro Signature Type Cover and Surface Pen sold separately   Free 3-month trial of Adobe Creative Cloud Photography plan plus 1TB of cloud storage with purchase*"	2449	https://www.microsoft.com/en-au/store/d/surface-pro/8NKT9WTTRBJK/640N	Surface	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW7Li9?ver=5198	new		889842193398	AU:::0.00	Microsoft	Electronics	"Computers"	1P	yes	unisex	adult	Electronics > Computers > Laptops						2449
8NKT9WTTRBJK-BPGQ	"Surface Pro - Intel Core i7 / 512GB SSD / 16GB RAM"	" The ultimate laptop, with the versatility of a studio and tablet   Breeze through tasks with a powerful 7th Generation Intel Core processor  Get more done with all day battery life²––50% more than Surface Pro 4  Vibrant 12.5 PixelSense high definition Display  Newly redesigned front-facing speakers and quieter fan-less cooling system⁵  Surface Pro Signature Type Cover and Surface Pen sold separately   Free 3-month trial of Adobe Creative Cloud Photography plan plus 1TB of cloud storage with purchase*"	3299	https://www.microsoft.com/en-au/store/d/surface-pro/8NKT9WTTRBJK/BPGQ	Surface	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW7Li9?ver=5198	new		889842193534	AU:::0.00	Microsoft	Electronics	"Computers"	1P	yes	unisex	adult	Electronics > Computers > Laptops						3299
8NQ33JVV1S9V-5V2N	"Xbox One X"	" Games play better than ever¹  Experience immersive true 4K gaming   Play on Xbox Live, the most advanced multiplayer network⁴  Works with all your Xbox One games and accessories   Games run smoothly, look amazing, and load quickly on 1080p screens "	649	https://www.microsoft.com/en-au/store/d/xbox-one-x-1tb-console/8NQ33JVV1S9V/5V2N	Gaming	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RWbGIz?ver=3096	new		889842208450	AU:::0.00	Microsoft	Software	"Video Game Software"	1P	yes	unisex	adult	Software > Video Game Software						649
8NVS9K3BFBNV-8GR9	"Halo 5: Guardians for Xbox One"	"Prepare for the next evolution of Halo combat. With an all-new Arena multiplayer mode* and thrilling new campaigns, Halo 5: Guardians puts you on the trail to solve a mystery that threatens the entire galaxy."	99.95	https://www.microsoft.com/en-au/store/d/halo-5-guardians-for-xbox-one/8NVS9K3BFBNV/8GR9	Gaming	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1h39n?ver=37ca	new		885370936988	AU:::0.00	Microsoft	Software	"Video Game Software"	1P	yes	unisex	adult	Software > Video Game Software						99.95
