ProductID	Locale	name	SKU	productURL	imageURL	CurrencyCode	Price 	ProductFamily	MSUPC	Brand	Availability
8Z43QVGW95DN-5PV8	en_nz	Surface Book with Performance Base - 256GB / Intel Core i7	95F-00004	https://www.microsoft.com/en-nz/store/d/surface-book-with-performance-base/8Z43QVGW95DN/5PV8?WT.mc_id=en_nz_datafeed_intel_Surface+Book+with+Performance+Base+-+256GB+%2f+Intel+Core+i7	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1hta6?ver=55eb	NZD	3079.30	Surface	889842152197	Microsoft	1
90FC23DV6SNZ-6J7J	en_nz	Surface Laptop - 256 GB / Intel Core i5 / 8GB RAM - Graphite Gold	DAG-00033	https://www.microsoft.com/en-nz/store/d/surface-laptop/90FC23DV6SNZ/6J7J?WT.mc_id=en_nz_datafeed_intel_Surface+Laptop+-+256+GB+%2f+Intel+Core+i5+%2f+8GB+RAM+-+Graphite+Gold	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW7DtY?ver=bd85	NZD	2199.00	Surface	889842205220	Microsoft	1
90FC23DV6SNZ-8HF3	en_nz	Surface Laptop - 256 GB / Intel Core i5 / 8GB RAM - Burgundy	DAG-00074	https://www.microsoft.com/en-nz/store/d/surface-laptop/90FC23DV6SNZ/8HF3?WT.mc_id=en_nz_datafeed_intel_Surface+Laptop+-+256+GB+%2f+Intel+Core+i5+%2f+8GB+RAM+-+Burgundy	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW7qu1?ver=28b6	NZD	2199.00	Surface	889842241730	Microsoft	1
90FC23DV6SNZ-BD02	en_nz	Surface Laptop - 256 GB / Intel Core i7 / 8GB RAM - Platinum	DAJ-00014	https://www.microsoft.com/en-nz/store/d/surface-laptop/90FC23DV6SNZ/BD02?WT.mc_id=en_nz_datafeed_intel_Surface+Laptop+-+256+GB+%2f+Intel+Core+i7+%2f+8GB+RAM+-+Platinum	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW6KQQ?ver=4b2e	NZD	2649.00	Surface	889842227222	Microsoft	1
90FC23DV6SNZ-DFX6	en_nz	Surface Laptop - 512 GB / Intel Core i7 / 16GB RAM - Cobalt Blue	DAL-00068	https://www.microsoft.com/en-nz/store/d/surface-laptop/90FC23DV6SNZ/DFX6?WT.mc_id=en_nz_datafeed_intel_Surface+Laptop+-+512+GB+%2f+Intel+Core+i7+%2f+16GB+RAM+-+Cobalt+Blue	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW7qu0?ver=ad6b	NZD	3649.00	Surface	889842242423	Microsoft	1
90FC23DV6SNZ-DMCH	en_nz	Surface Laptop - 256 GB / Intel Core i5 / 8GB RAM - Cobalt Blue	DAG-00090	https://www.microsoft.com/en-nz/store/d/surface-laptop/90FC23DV6SNZ/DMCH?WT.mc_id=en_nz_datafeed_intel_Surface+Laptop+-+256+GB+%2f+Intel+Core+i5+%2f+8GB+RAM+-+Cobalt+Blue	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW7qu0?ver=ad6b	NZD	2199.00	Surface	889842241884	Microsoft	1
90FC23DV6SNZ-JP0N	en_nz	Surface Laptop - 512 GB / Intel Core i7 / 16GB RAM – Burgundy	DAL-00050	https://www.microsoft.com/en-nz/store/d/surface-laptop/90FC23DV6SNZ/JP0N?WT.mc_id=en_nz_datafeed_intel_Surface+Laptop+-+512+GB+%2f+Intel+Core+i7+%2f+16GB+RAM+%e2%80%93+Burgundy	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW7qu1?ver=28b6	NZD	3649.00	Surface	889842242256	Microsoft	1
90FC23DV6SNZ-JQ3R	en_nz	Surface Laptop - 256 GB / Intel Core i5 / 8GB RAM - Platinum	DAG-00020	https://www.microsoft.com/en-nz/store/d/surface-laptop/90FC23DV6SNZ/JQ3R?WT.mc_id=en_nz_datafeed_intel_Surface+Laptop+-+256+GB+%2f+Intel+Core+i5+%2f+8GB+RAM+-+Platinum	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW6KQQ?ver=4b2e	NZD	2199.00	Surface	889842205091	Microsoft	1
90FC23DV6SNZ-LQV7	en_nz	Surface Laptop - 512 GB / Intel Core i7 / 16GB RAM - Graphite Gold	DAL-00032	https://www.microsoft.com/en-nz/store/d/surface-laptop/90FC23DV6SNZ/LQV7?WT.mc_id=en_nz_datafeed_intel_Surface+Laptop+-+512+GB+%2f+Intel+Core+i7+%2f+16GB+RAM+-+Graphite+Gold	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW7DtY?ver=bd85	NZD	3649.00	Surface	889842242089	Microsoft	1
90FC23DV6SNZ-M5MD	en_nz	Surface Laptop - 512 GB / Intel Core i7 / 16GB RAM - Platinum	DAL-00014	https://www.microsoft.com/en-nz/store/d/surface-laptop/90FC23DV6SNZ/M5MD?WT.mc_id=en_nz_datafeed_intel_Surface+Laptop+-+512+GB+%2f+Intel+Core+i7+%2f+16GB+RAM+-+Platinum	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW6KQQ?ver=4b2e	NZD	3649.00	Surface	889842227642	Microsoft	1
